event_id,fish_id,length,weight,height,fish_species,lep_cop,lep_chal,lep_motile,lep_unknown,cal_cop,cal_chal,cal_motile,cal_unknown,unknown_cop,unknown_chal,unknown_motile,unknown_unknown
ccfs_2018-05-163,ccfs_70,72.0,,11.0,Chum Salmon,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ccfs_2018-05-163,ccfs_71,62.0,,11.0,Chum Salmon,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
ccfs_2018-05-163,ccfs_72,62.0,,9.0,Chum Salmon,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
ccfs_2018-05-163,ccfs_73,68.0,,12.0,Chum Salmon,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
ccfs_2018-05-163,ccfs_74,64.0,,12.0,Chum Salmon,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ccfs_2018-05-163,ccfs_75,68.0,,13.0,Chum Salmon,6,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
ccfs_2018-05-163,ccfs_76,61.0,,11.0,Chum Salmon,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
ccfs_2018-05-163,ccfs_77,64.0,,12.0,Chum Salmon,7,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
ccfs_2018-05-163,ccfs_78,68.0,,12.0,Chum Salmon,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0
ccfs_2018-05-163,ccfs_79,58.0,,10.0,Chum Salmon,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0
ccfs_2018-05-163,ccfs_80,64.0,,9.0,Chum Salmon,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
ccfs_2018-05-163,ccfs_81,67.0,,10.0,Chum Salmon,2,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
ccfs_2018-05-163,ccfs_82,68.0,,11.0,Chum Salmon,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ccfs_2018-05-163,ccfs_83,58.0,,8.0,Chum Salmon,6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
ccfs_2018-05-163,ccfs_84,58.0,,10.0,Chum Salmon,1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
ccfs_2018-05-163,ccfs_85,67.0,,11.0,Chum Salmon,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
ccfs_2018-05-163,ccfs_86,71.0,,12.0,Chum Salmon,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccfs_2018-05-163,ccfs_87,67.0,,11.0,Chum Salmon,1,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0
ccfs_2018-05-163,ccfs_88,60.0,,9.0,Chum Salmon,3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
ccfs_2018-05-163,ccfs_89,54.0,,9.0,Pink Salmon,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
ccfs_2018-05-163,ccfs_90,68.0,,11.0,Chum Salmon,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
ccfs_2018-05-163,ccfs_91,68.0,,12.0,Pink Salmon,0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
ccfs_2018-05-163,ccfs_92,68.0,,12.0,Chum Salmon,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ccfs_2018-05-163,ccfs_93,69.0,,10.0,Chum Salmon,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0
ccfs_2018-05-163,ccfs_94,67.0,,11.0,Pink Salmon,2,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
