event_id,sampledate,region,dfozone,sample_site,latitude,longitude,source
scfs_156.0,2005-05-16,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_157.0,2005-05-16,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_158.0,2005-05-23,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_159.0,2005-05-23,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_160.0,2005-05-23,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_161.0,2005-05-30,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_162.0,2005-05-30,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_163.0,2005-06-06,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_164.0,2005-06-06,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_165.0,2005-06-14,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_166.0,2005-06-14,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_167.0,2005-06-15,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_168.0,2005-06-20,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_169.0,2005-06-20,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_170.0,2006-03-10,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_171.0,2006-03-10,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_172.0,2006-03-25,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
